date,Average
20200521,13.5
20200522,13.6
20200523,13.7
20200524,13.8
20200525,13.9
20200526,14
20200527,14.1
20200528,14.2
20200529,14.3
20200530,14.3
20200531,14.4
20200601,14.5
20200602,14.6
20200603,14.7
20200604,14.8
20200605,14.9
20200606,14.9
20200607,15
20200608,15.1
20200609,15.2
20200610,15.3
20200611,15.3
20200612,15.4
20200613,15.5
20200614,15.6
20200615,15.7
20200616,15.8
20200617,15.8
20200618,15.9
20200619,16
20200620,16.1
20200621,16.2
20200622,16.2
20200623,16.3
20200624,16.4
20200625,16.5
20200626,16.5
20200627,16.6
20200628,16.7
20200629,16.8
20200630,16.8
20200701,16.9
20200702,16.9
20200703,17
20200704,17.1
20200705,17.1
20200706,17.2
20200707,17.3
20200708,17.3
20200709,17.4
20200710,17.4
20200711,17.5
20200712,17.6
20200713,17.6
20200714,17.7
20200715,17.7
20200716,17.8
20200717,17.9
20200718,17.9
20200719,18
20200720,18
20200721,18
20200722,18.1
20200723,18.1
20200724,18.1
20200725,18.2
20200726,18.2
20200727,18.2
20200728,18.2
20200729,18.2
20200730,18.2
20200731,18.2
20200801,18.2
20200802,18.1
20200803,18.1
20200804,18.1
20200805,18
20200806,18
20200807,18
20200808,17.9
20200809,17.9
20200810,17.8
20200811,17.8
20200812,17.7
20200813,17.6
20200814,17.6
20200815,17.5
20200816,17.5
20200817,17.4
20200818,17.4
20200819,17.3
20200820,17.2
20200821,17.2
20200822,17.1
20200823,17
20200824,17
20200825,16.9
20200826,16.8
20200827,16.7
20200828,16.6
20200829,16.6
20200830,16.5
20200831,16.4
20200901,16.3
20200902,16.2
20200903,16.1
20200904,16
20200905,15.9
20200906,15.9
20200907,15.8
20200908,15.7
20200909,15.6
20200910,15.5
20200911,15.4
20200912,15.3
20200913,15.2
20200914,15.1
20200915,15
20200916,14.9
20200917,14.8
20200918,14.7
20200919,14.6
20200920,14.5
20200921,14.4
20200922,14.3
20200923,14.2
20200924,14.1
20200925,14
20200926,13.9
20200927,13.8
20200928,13.7
20200929,13.6
20200930,13.5
20201001,13.4
20201002,13.2
20201003,13.1
20201004,13
20201005,12.9
20201006,12.7
20201007,12.6
20201008,12.5
20201009,12.4
20201010,12.3
20201011,12.1
20201012,12
20201013,11.9
20201014,11.8
20201015,11.7
20201016,11.6
20201017,11.5
20201018,11.4
20201019,11.2
20201020,11.1
20201021,11
20201022,10.9
20201023,10.8
20201024,10.7
20201025,11.6
20201026,11.5
20201027,11.3
20201028,11.2
20201029,11
20201030,10.9
20201031,10.7
20201101,10.6
20201102,10.4
20201103,10.2
20201104,10.1
20201105,9.9
20201106,9.7
20201107,9.6
20201108,9.4
20201109,9.2
20201110,9.1
20201111,8.9
20201112,8.8
20201113,8.6
20201114,8.5
20201115,8.3
20201116,8.2
20201117,8
20201118,7.9
20201119,7.8
20201120,7.7
20201121,7.6
20201122,7.5
20201123,7.5
20201124,7.4
20201125,7.3
20201126,7.3
20201127,7.2
20201128,7.1
20201129,7.1
20201130,7
20201201,6.9
20201202,6.8
20201203,6.7
20201204,6.6
20201205,6.5
20201206,6.5
20201207,6.4
20201208,6.3
20201209,6.2
20201210,6.1
20201211,6
20201212,5.9
20201213,5.9
20201214,5.8
20201215,5.8
20201216,5.8
20201217,5.8
20201218,5.8
20201219,5.8
20201220,5.8
