HDR,WIND GENERATION FORECAST AND OUTTURN DATA
WIND,20220311,1,20220309023000,14762,20220310223000,12080,20220311003000,11727
WIND,20220311,2,NULL,NULL,NULL,NULL,20220311010000,11621
WIND,20220311,3,20220309023000,14906,20220310223000,12228,20220311013000,11739
WIND,20220311,4,NULL,NULL,NULL,NULL,20220311020000,11787
WIND,20220311,5,20220309023000,15035,20220310223000,12437,20220311023000,11776
WIND,20220311,6,NULL,NULL,NULL,NULL,20220311030000,12048
WIND,20220311,7,20220309023000,15112,20220310223000,12780,20220311033000,12049
WIND,20220311,8,NULL,NULL,NULL,NULL,20220311040000,11721
WIND,20220311,9,20220309023000,15288,20220310223000,13443,20220311043000,11931
WIND,20220311,10,NULL,NULL,NULL,NULL,20220311050000,12219
WIND,20220311,11,20220309023000,15442,20220310223000,14014,20220311053000,12190
WIND,20220311,12,NULL,NULL,NULL,NULL,20220311060000,12781
WIND,20220311,13,20220309023000,15575,20220310223000,14586,20220311063000,13039
WIND,20220311,14,NULL,NULL,NULL,NULL,20220311070000,13397
WIND,20220311,15,20220309023000,15672,20220310223000,15008,20220311073000,13832
WIND,20220311,16,NULL,NULL,NULL,NULL,20220311080000,14050
WIND,20220311,17,20220309023000,15759,20220310223000,15284,20220311083000,14087
WIND,20220311,18,NULL,NULL,NULL,NULL,20220311090000,14093
WIND,20220311,19,20220309023000,15836,20220310223000,15515,20220311093000,14145
WIND,20220311,20,NULL,NULL,NULL,NULL,20220311100000,14458
WIND,20220311,21,20220309023000,15815,20220310223000,15682,20220311103000,14515
WIND,20220311,22,NULL,NULL,NULL,NULL,20220311110000,14587
WIND,20220311,23,20220309023000,15817,20220310223000,15840,20220311113000,14631
WIND,20220311,24,NULL,NULL,NULL,NULL,20220311120000,14556
WIND,20220311,25,20220309023000,15768,20220310223000,15969,20220311123000,14513
WIND,20220311,26,NULL,NULL,NULL,NULL,20220311130000,14437
WIND,20220311,27,20220309023000,15685,20220310223000,16049,20220311133000,14696
WIND,20220311,28,NULL,NULL,NULL,NULL,20220311140000,14700
WIND,20220311,29,20220309023000,15520,20220310223000,16074,20220311143000,14688
WIND,20220311,30,NULL,NULL,NULL,NULL,20220311150000,14606
WIND,20220311,31,20220309023000,15279,20220310223000,16089,20220311153000,14457
WIND,20220311,32,NULL,NULL,NULL,NULL,20220311160000,14422
WIND,20220311,33,20220309023000,14961,20220310223000,16055,20220311163000,14520
WIND,20220311,34,NULL,NULL,NULL,NULL,20220311170000,14556
WIND,20220311,35,20220309023000,14575,20220310223000,15998,20220311173000,14490
WIND,20220311,36,NULL,NULL,NULL,NULL,20220311180000,14241
WIND,20220311,37,20220309023000,14121,20220310223000,15910,20220311183000,13969
WIND,20220311,38,NULL,NULL,NULL,NULL,20220311190000,13452
WIND,20220311,39,20220309023000,13707,20220310223000,15704,20220311193000,12842
WIND,20220311,40,NULL,NULL,NULL,NULL,20220311200000,12579
WIND,20220311,41,20220309023000,13246,20220310223000,15424,20220311203000,12475
WIND,20220311,42,NULL,NULL,NULL,NULL,20220311210000,12315
WIND,20220311,43,20220309023000,12739,20220311223000,13754,20220311213000,12244
WIND,20220311,44,NULL,NULL,NULL,NULL,20220311220000,12299
WIND,20220311,45,20220310023000,14456,20220311223000,13108,20220311223000,12270
WIND,20220311,46,NULL,NULL,NULL,NULL,20220311230000,12425
WIND,20220311,47,20220310023000,13852,20220311223000,12470,20220311233000,12697
WIND,20220311,48,NULL,NULL,NULL,NULL,20220312000000,12655
WIND,20220312,1,20220310023000,13150,20220311223000,11890,20220312003000,12524
WIND,20220312,2,NULL,NULL,NULL,NULL,20220312010000,12643
WIND,20220312,3,20220310023000,12566,20220311223000,11453,20220312013000,12652
WIND,20220312,4,NULL,NULL,NULL,NULL,20220312020000,12489
WIND,20220312,5,20220310023000,11922,20220311223000,11039,20220312023000,12431
WIND,20220312,6,NULL,NULL,NULL,NULL,20220312030000,12405
WIND,20220312,7,20220310023000,11228,20220311223000,10684,20220312033000,11891
WIND,20220312,8,NULL,NULL,NULL,NULL,20220312040000,11464
WIND,20220312,9,20220310023000,10801,20220311223000,10491,20220312043000,11739
WIND,20220312,10,NULL,NULL,NULL,NULL,20220312050000,12124
WIND,20220312,11,20220310023000,10361,20220311223000,10332,20220312053000,12322
WIND,20220312,12,NULL,NULL,NULL,NULL,20220312060000,12122
WIND,20220312,13,20220310023000,9912,20220311223000,10127,20220312063000,12264
WIND,20220312,14,NULL,NULL,NULL,NULL,20220312070000,12010
WIND,20220312,15,20220310023000,9760,20220311223000,10128,20220312073000,11935
WIND,20220312,16,NULL,NULL,NULL,NULL,20220312080000,11076
WIND,20220312,17,20220310023000,9601,20220311223000,10036,20220312083000,10604
WIND,20220312,18,NULL,NULL,NULL,NULL,20220312090000,10908
WIND,20220312,19,20220310023000,9435,20220311223000,10198,20220312093000,11184
WIND,20220312,20,NULL,NULL,NULL,NULL,20220312100000,11561
WIND,20220312,21,20220310023000,9503,20220311223000,10607,20220312103000,11230
WIND,20220312,22,NULL,NULL,NULL,NULL,20220312110000,11206
WIND,20220312,23,20220310023000,9579,20220311223000,10871,20220312113000,11634
WIND,20220312,24,NULL,NULL,NULL,NULL,20220312120000,11782
WIND,20220312,25,20220310023000,9659,20220311223000,11076,20220312123000,11872
WIND,20220312,26,NULL,NULL,NULL,NULL,20220312130000,11445
WIND,20220312,27,20220310023000,10067,20220311223000,10811,20220312133000,11102
WIND,20220312,28,NULL,NULL,NULL,NULL,20220312140000,10700
